sra_id,bioproject,time,genotype,tissue,instrument,layout,selection,reference
SRX4720625,PRJNA492280,24,wt,cardiomyocytes,Illumina NextSeq 500,PAIRED,cDNA,30760547
SRX4720626,PRJNA492280,24,wt,cardiomyocytes,Illumina NextSeq 500,PAIRED,cDNA,30760547
SRX4720628,PRJNA492280,48,wt,cardiomyocytes,Illumina NextSeq 500,PAIRED,cDNA,30760547
SRX4720629,PRJNA492280,48,wt,cardiomyocytes,Illumina NextSeq 500,PAIRED,cDNA,30760547
SRX4720631,PRJNA492280,72,wt,cardiomyocytes,Illumina NextSeq 500,PAIRED,cDNA,30760547
SRX4720632,PRJNA492280,72,wt,cardiomyocytes,Illumina NextSeq 500,PAIRED,cDNA,30760547
SRX4720634,PRJNA492280,72,gata5,cardiomyocytes,Illumina NextSeq 500,PAIRED,cDNA,30760547
SRX4720635,PRJNA492280,72,gata5,cardiomyocytes,Illumina NextSeq 500,PAIRED,cDNA,30760547
SRX4720637,PRJNA492280,72,tbx5a,cardiomyocytes,Illumina NextSeq 500,PAIRED,cDNA,30760547
SRX4720638,PRJNA492280,72,tbx5a,cardiomyocytes,Illumina NextSeq 500,PAIRED,cDNA,30760547
SRX4720640,PRJNA492280,72,hand2,cardiomyocytes,Illumina NextSeq 500,PAIRED,cDNA,30760547
SRX4720641,PRJNA492280,72,hand2,cardiomyocytes,Illumina NextSeq 500,PAIRED,cDNA,30760547
SRX4157236,PRJNA474426,20,wt,cardiomyocytes,Illumina HiSeq 2500,PAIRED,cDNA,29974860
SRX4157237,PRJNA474426,20,wt,cardiomyocytes,Illumina HiSeq 2500,PAIRED,cDNA,29974861
SRX4157238,PRJNA474426,20,wt,cardiomyocytes,Illumina HiSeq 2500,PAIRED,cDNA,29974862
SRX4157239,PRJNA474426,20,wt,cardiomyocytes,Illumina HiSeq 2500,PAIRED,cDNA,29974863
SRX4157240,PRJNA474426,20,wt,cardiomyocytes,Illumina HiSeq 2500,PAIRED,cDNA,29974864
SRX4157241,PRJNA474426,20,wt,cardiomyocytes,Illumina HiSeq 2500,PAIRED,cDNA,29974865
SRX4157242,PRJNA474426,20,wt,cardiomyocytes,Illumina HiSeq 2500,PAIRED,cDNA,29974866
SRX4157243,PRJNA474426,20,wt,cardiomyocytes,Illumina HiSeq 2500,PAIRED,cDNA,29974867
SRX5113180,PRJNA509429,3696,wt,whole heart,Illumina HiSeq 2000,PAIRED,other,30597924
SRX5113181,PRJNA509429,3696,wt,whole heart,Illumina HiSeq 2000,PAIRED,other,30597924
SRX5113182,PRJNA509429,3696,wt,whole heart,Illumina HiSeq 2000,PAIRED,other,30597924
SRX5113183,PRJNA509429,7248,infection,whole heart,Illumina HiSeq 2000,PAIRED,other,30597924
SRX5113184,PRJNA509429,7248,infection,whole heart,Illumina HiSeq 2000,PAIRED,other,30597924
SRX5113203,PRJNA509429,7248,infection,whole heart,Illumina HiSeq 2000,PAIRED,other,30597924
SRX5113207,PRJNA509429,7656,infection,whole heart,Illumina HiSeq 2000,PAIRED,other,30597924
SRX5113209,PRJNA509429,7656,infection,whole heart,Illumina HiSeq 2000,PAIRED,other,30597924
SRX5113210,PRJNA509429,7656,infection,whole heart,Illumina HiSeq 2000,PAIRED,other,30597924
SRX5391564,PRJNA523184,48,wt,embryo,Illumina HiSeq 2500,SINGLE,cDNA,31091225
SRX5391565,PRJNA523184,48,crg,embryo,Illumina HiSeq 2500,SINGLE,cDNA,31091225
SRX5391566,PRJNA523184,48,wt,embryo,Illumina HiSeq 2500,SINGLE,cDNA,31091225
SRX5391567,PRJNA523184,48,cyp26,embryo,Illumina HiSeq 2500,SINGLE,cDNA,31091225
SRX5391568,PRJNA523184,28,wt,Nkx2.5+ cells,Illumina HiSeq 2500,PAIRED,cDNA,31091225
SRX5391569,PRJNA523184,28,hdac1,Nkx2.5+ cells,Illumina HiSeq 2500,PAIRED,cDNA,31091225
SRX5391570,PRJNA523184,28,wt,Nkx2.5+ cells,Illumina HiSeq 2500,PAIRED,cDNA,31091225
SRX5391571,PRJNA523184,28,cyp26,Nkx2.5+ cells,Illumina HiSeq 2500,PAIRED,cDNA,31091225
SRX6603837,PRJNA556842,2160,wt,heart,Illumina HiSeq 2500,PAIRED,other,0
SRX6603839,PRJNA556842,2160,wt,heart,Illumina HiSeq 2500,PAIRED,other,0
SRX6603841,PRJNA556842,3600,wt,heart,Illumina HiSeq 2500,PAIRED,other,0
SRX6603842,PRJNA556842,3600,wt,heart,Illumina HiSeq 2500,PAIRED,other,0
SRX6603844,PRJNA556842,3600,wt,heart,Illumina HiSeq 2500,PAIRED,other,0
SRX6603847,PRJNA556842,2160,wt,heart,Illumina HiSeq 2500,PAIRED,other,0
SRX6603848,PRJNA556842,2160,wt,heart,Illumina HiSeq 2500,PAIRED,other,0
SRX6603849,PRJNA556842,2160,wt,heart,Illumina HiSeq 2500,PAIRED,other,0
SRX6603850,PRJNA556842,2160,wt,heart,Illumina HiSeq 2500,PAIRED,other,0
SRX6603851,PRJNA556842,2160,wt,heart,Illumina HiSeq 2500,PAIRED,other,0
SRX6603852,PRJNA556842,3600,wt,heart,Illumina HiSeq 2500,PAIRED,other,0
SRX6603853,PRJNA556842,3600,wt,heart,Illumina HiSeq 2500,PAIRED,other,0
SRX6603854,PRJNA556842,3600,wt,heart,Illumina HiSeq 2500,PAIRED,other,0
SRX6603855,PRJNA556842,3600,wt,heart,Illumina HiSeq 2500,PAIRED,other,0
SRX6603856,PRJNA556842,3600,wt,heart,Illumina HiSeq 2500,PAIRED,other,0
